,ResponseId,Dignity_1,Dignity_2,Dignity_3,Dignity_4,Dignity_5,Dignity_6,Face_1,Face_2,Face_3,Face_4,Face_5,Honour_1,Honour_2,Honour_3,Honour_4,SINS_1,SINS_2,SINS_3,SINS_4,SINS_5,SINS_6,SINS_7,SINS_8,SINS_9,SINS_10,SINS_11,SINS_12,SINS_13,SINS_14,SINS_15,SINS_16,SINS_17,SINS_18,SINS_19,SINS_20,SINS_21,SINS_22,SINS_23,SINS_24,SINS_25,SINS_26,SINS_27,SINS_28,SINS_29,SINS_30,SINS_31,SINS_32,Age,Gender,MBorn,FBorn,Born,D6_1,D6_2,D6_3,D7,D7_9_TEXT,D8_1,D8_2,D8_3,D9,D10_1,D10_2,D10_3,Father,Mother,Me,Bio_birth
24,R_3lGonWIT4mIOB8m,5.0,7,7,6,5,5,7,4,3,4,5,6,4,6,4,2.0,2,1,2,2,6,5,1,2,2,3,1,1,4,1,1,4,4,4,6,4,5,3,5,2,5,6,4,4,4,3,6,20,2.0,australia,england ,australia,3,5,4,10,,,,,,4,4,3,1.0,1.0,1.0,1.0
25,R_2dmu0L6m9JIxrn2,7.0,7,6,6,3,6,5,6,6,4,6,3,6,2,6,1.0,3,2,5,1,6,5,1,2,1,3,1,3,2,4,1,5,5,3,4,5,3,5,2,2,3,6,4,5,4,2,6,19,2.0,vietnam,vietnam,australia,4,4,5,10,,,,,Vietnamese,2,3,2,2.0,2.0,1.0,2.0
26,R_2UXSIAgFNlWMtGl,4.0,6,6,6,6,4,5,6,6,6,6,3,6,5,4,1.0,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,3,2,1,3,24,2.0,malaysia,malaysia,australia,4,3,3,9,Malaysia,4,3,3,Malaysian Chinese,4,3,3,2.0,2.0,1.0,2.0
27,R_UoVcwpHbLMDRwEV,6.0,6,6,6,5,5,6,4,5,5,5,5,6,5,6,5.0,3,3,5,3,4,5,5,3,4,4,3,3,5,5,5,5,4,3,4,5,4,3,3,3,2,5,3,5,4,3,5,19,2.0,china ,china ,china ,4,4,4,9,Australia,3,4,4,chinese ,3,4,4,2.0,2.0,2.0,999.0
28,R_22EQ9U94uLfNF8U,5.0,4,5,4,4,4,6,5,5,4,5,5,5,5,5,3.0,5,1,4,4,7,3,2,1,4,2,4,2,2,2,2,6,5,3,5,4,4,5,2,4,2,6,3,5,5,4,6,19,2.0,indonesia,indonesia,indonesia,4,4,2,9,Australia,5,5,4,Chinese-Indonesian,4,4,2,2.0,2.0,2.0,999.0
29,R_3lubZVQ7jfs49z4,4.0,4,5,4,3,4,3,6,6,4,5,5,6,6,6,3.0,4,3,3,3,5,4,4,3,3,4,3,2,5,3,3,5,5,4,4,5,4,5,4,4,4,5,3,5,4,4,3,24,2.0,china,china ,china ,4,4,4,9,Melbourne ,3,4,3,Chinese ,4,4,4,2.0,2.0,2.0,999.0
30,R_3plGJt9hs2kN1HQ,2.0,2,3,5,3,2,3,6,6,6,7,7,7,7,7,2.0,2,1,3,2,6,6,1,1,3,2,4,2,3,2,2,6,6,5,6,7,6,6,2,6,2,6,2,6,2,3,6,20,2.0,china,china,china,5,4,2,9,Australia ,5,4,5,Chinese,4,4,2,2.0,2.0,2.0,999.0
31,R_1ISHSqbkODj2rIp,7.0,6,6,6,6,3,5,6,6,3,6,5,5,3,3,1.0,1,1,2,1,3,3,1,1,2,1,3,1,1,2,2,4,2,2,4,3,4,1,1,2,3,2,2,3,3,4,4,21,2.0,italy,australia,australia,3,4,4,10,,,,,Italian,4,4,4,1.0,1.0,1.0,1.0
32,R_2RVzJtSIE8iqrD1,6.0,6,6,5,5,5,6,6,7,6,6,6,6,6,7,3.0,3,2,4,3,4,4,2,3,2,2,2,2,2,2,2,6,3,2,4,3,4,2,2,3,2,5,2,3,2,3,2,20,1.0,australia,australia,australia,2,2,5,10,,,,,Caucasian,4,3,5,1.0,1.0,1.0,1.0
33,R_3ivTvRfPMnu7wtT,6.0,5,5,6,6,3,4,6,5,5,5,7,6,6,5,6.0,6,2,6,5,5,6,6,5,6,5,6,6,6,5,6,6,7,5,6,6,5,7,4,5,5,6,6,6,5,5,6,20,2.0,australia,australia,australia,5,4,5,9,Ireland,4,4,2,White,4,4,5,1.0,1.0,1.0,1.0
34,R_1kHMXv5iZnxY09T,5.0,3,6,5,6,3,1,3,4,6,5,2,5,5,4,1.0,2,2,2,2,5,4,1,1,2,1,4,1,1,2,3,5,4,2,3,3,4,3,3,4,4,4,3,1,1,4,2,32,2.0,"sydney, australia","arkansas, usa ",australia,5,4,5,9,"California, USA",5,2,2,White,3,3,3,1.0,1.0,1.0,1.0
35,R_25yB3fACm2oguru,5.0,6,6,7,7,3,6,5,5,3,7,5,5,5,5,1.0,1,2,2,1,7,5,1,1,1,2,2,1,5,2,2,6,5,3,7,5,5,5,5,3,5,7,6,6,6,3,5,21,1.0,vietnam,vietnam,australia,5,5,4,10,,,,,Chinese,4,4,4,2.0,2.0,1.0,2.0
36,R_2s5BrRKZb8ii8mB,5.0,4,4,4,4,3,4,5,5,5,6,5,4,4,5,3.0,5,1,4,3,4,4,2,4,2,3,4,3,4,2,3,5,5,4,5,6,5,5,4,4,4,4,4,5,4,4,6,20,2.0,indonesia,indonesia,indonesia,4,3,4,9,Australia,2,3,3,Chinese,4,4,4,2.0,2.0,2.0,999.0
37,R_1OwqOkOwhwryLrh,5.0,4,3,5,5,3,5,6,3,3,5,6,7,5,6,1.0,5,1,5,5,7,7,2,5,3,4,2,5,7,2,3,5,5,1,5,5,7,5,2,2,4,7,1,6,6,6,5,20,1.0,china,china,australia,4,5,5,10,,,,,Chinese,3,1,1,2.0,2.0,1.0,2.0
38,R_diMVmT5flwvZ3Yl,7.0,6,7,6,5,6,5,5,6,3,5,2,5,5,2,4.0,5,1,5,1,7,5,3,3,5,3,2,2,5,5,2,5,6,3,6,5,2,5,6,3,5,6,5,5,6,3,3,18,2.0,australia,australia,australia,4,4,3,10,,,,,Caucasian and Greek,4,4,3,1.0,1.0,1.0,1.0
39,R_1FawQI7pAAsSw7L,6.0,5,7,6,7,6,6,7,6,2,6,7,5,6,6,5.0,5,2,5,5,7,5,3,3,2,6,2,5,7,5,6,6,7,6,5,6,5,6,5,5,5,5,5,5,6,6,4,21,1.0,china,china,australia,5,5,5,10,,,,,Chinese,4,5,5,2.0,2.0,1.0,2.0
40,R_2zceLWtJS0TgP1s,5.0,6,6,6,6,4,6,5,5,5,5,4,4,4,5,2.0,2,1,2,1,2,3,2,1,2,2,1,1,3,2,1,3,3,2,3,3,3,2,2,3,2,3,2,3,3,2,5,22,2.0,kerang,kerang,australia,4,4,4,10,,,,,"English, Scottish, Welsh, Norwegian ",4,3,4,1.0,1.0,1.0,1.0
41,R_2Pw0cVrgz2kxIMe,6.0,6,7,7,6,5,6,6,6,6,6,5,6,6,5,2.0,3,3,2,2,5,5,2,1,2,6,5,2,2,2,2,6,2,2,6,3,6,2,3,4,5,5,4,5,6,3,6,20,2.0,australia ,australia,australia,5,5,5,10,,,,,Vietnamese,1,2,1,1.0,1.0,1.0,1.0
42,R_AnVMh86B7Zr6jRL,6.0,5,6,6,5,5,3,5,5,2,6,5,6,5,5,1.0,1,1,3,1,5,1,1,1,1,2,1,1,2,1,1,5,2,1,2,3,1,1,1,1,2,2,2,3,1,1,5,22,2.0,australia,australia,australia ,5,5,4,10,,,,,Australian,4,4,4,1.0,1.0,1.0,1.0
43,R_1DnDBWi0Sg5FAIA,5.0,7,6,6,5,5,6,6,6,4,6,6,5,6,5,1.0,3,1,4,2,5,4,2,2,4,3,2,2,4,2,1,5,4,2,5,4,2,3,5,2,3,4,3,4,3,2,4,21,1.0,australia,australia,australia,4,3,3,10,,,,,Australian,4,3,3,1.0,1.0,1.0,1.0
44,R_2tbu8fwixrMNeQM,3.0,6,7,6,6,5,6,6,7,5,6,6,6,5,5,1.0,2,1,3,1,6,3,1,1,1,1,1,2,5,1,1,3,6,1,4,5,3,5,2,3,1,4,2,3,3,2,7,20,2.0,australia,australia,australia,2,4,4,10,,,,,Anglo-saxon ,4,4,5,1.0,1.0,1.0,1.0
45,R_1OxUQXNo1zEWw6D,5.0,7,6,5,5,5,5,5,5,6,6,6,7,7,7,2.0,5,4,2,2,5,6,5,5,6,2,1,2,6,2,4,3,2,2,2,3,5,4,6,2,6,3,2,3,5,5,5,22,2.0,malaysia,malaysia ,australia ,4,4,2,9,Yes,4,,,Chinese,5,5,4,2.0,2.0,1.0,2.0
46,R_2AMY1tE3FBsLZcs,6.0,6,7,6,7,6,4,6,6,6,6,2,6,5,5,4.0,2,1,2,2,5,4,3,5,4,2,5,2,6,4,3,4,4,4,4,6,4,4,2,4,5,4,4,4,4,4,6,18,2.0,australia ,australia ,australia ,3,4,2,10,,,,,Australian ,3,4,2,1.0,1.0,1.0,1.0
47,R_1je8tQ8Dw7tnNcK,7.0,5,7,7,4,5,6,4,7,5,6,6,2,6,6,4.0,1,1,1,2,4,6,2,1,2,4,2,2,4,3,1,5,4,4,4,7,5,5,5,2,2,6,2,4,5,2,6,21,1.0,australia ,australia ,australia ,2,3,4,10,,,,,Australian / Scottish,2,3,4,1.0,1.0,1.0,1.0
48,R_1LkBHMIIHI6SjNt,6.0,7,6,7,5,5,5,6,5,5,5,5,4,4,5,3.0,3,1,5,3,6,4,2,2,4,4,3,3,4,2,2,6,6,3,4,6,4,6,4,4,4,6,4,5,5,4,6,21,2.0,australia ,australia ,australia ,4,4,4,10,,,,,Australian,,4,4,1.0,1.0,1.0,1.0
49,R_2c8gHShKYGvj5yh,6.0,6,6,6,6,5,5,6,5,3,5,6,6,6,6,2.0,3,3,2,1,5,5,2,2,3,4,2,5,5,3,3,6,5,4,6,5,4,5,4,3,3,6,4,5,4,5,5,20,2.0,australia,new zealand,australia ,5,3,5,10,,,,,Australian,5,3,4,1.0,1.0,1.0,1.0
50,R_ezIi2UMV4MwoodH,5.0,2,3,7,5,5,5,3,3,3,3,6,4,5,5,2.0,2,1,1,1,1,2,1,2,1,1,2,2,4,2,1,3,2,2,3,1,4,3,1,2,2,2,3,2,3,4,3,20,2.0,australia ,australia ,australia ,2,1,2,,,2,2,2,Australia ,2,1,2,1.0,1.0,1.0,1.0
51,R_1fkiouJj53FeMj2,5.0,5,6,6,6,5,3,6,2,2,4,6,6,5,6,2.0,3,1,5,5,7,7,2,2,3,2,3,2,6,2,4,7,7,6,6,6,6,6,3,7,5,6,5,6,5,6,7,21,1.0,australia,australia,australia,4,4,4,10,,,,,Australian,,4,4,1.0,1.0,1.0,1.0
52,R_1E0R92gOiu6bxzL,7.0,5,7,7,6,6,4,6,5,6,6,5,6,5,5,3.0,3,1,5,5,6,6,2,1,5,5,6,3,6,2,1,6,5,3,6,6,5,5,5,6,6,5,5,6,6,5,6,20,2.0,australia,england,australia,5,4,3,9,England,2,4,3,Australian,5,5,3,1.0,1.0,1.0,1.0
53,R_3fejI4x8EnnvFJd,6.0,6,6,6,6,5,5,6,5,4,5,5,5,5,5,1.0,2,2,3,2,5,3,2,2,2,2,3,2,4,2,2,3,3,3,5,3,4,3,3,3,3,3,3,3,2,2,3,45,2.0,australia,australia ,australia ,5,4,4,9,Japan ,4,4,4,Australia ,4,4,4,1.0,1.0,1.0,1.0
54,R_4N2CRYB6YDYkOCR,5.0,3,5,5,6,3,5,7,7,7,7,6,6,5,6,1.0,4,2,1,2,3,4,1,1,3,3,2,2,2,1,4,4,5,2,3,5,3,4,2,3,4,2,2,4,4,3,4,21,1.0,south australia,victoria,singapore,1,1,2,9,Australia ,5,5,5,Australian,5,5,5,1.0,1.0,2.0,2.0
55,R_2wbt3SkvocGNkTG,5.0,6,6,6,6,5,5,6,5,3,6,6,3,5,3,2.0,2,1,3,1,6,6,2,2,3,2,1,1,5,2,1,6,6,2,6,6,6,3,3,5,5,6,3,5,5,5,6,22,2.0,australia,australia,australia,4,4,5,10,,,,,Caucasian ,5,5,5,1.0,1.0,1.0,1.0
56,R_1pysTtsXIO7vfRz,6.0,6,6,5,6,6,5,5,5,5,6,5,5,5,5,3.0,2,4,4,3,4,3,2,2,2,3,3,2,2,3,3,5,5,4,5,6,4,5,3,3,2,6,2,5,2,4,3,22,1.0,england ,australia ,australia ,4,4,4,10,,,,,White,4,4,3,1.0,1.0,1.0,1.0
57,R_11ZzticlJsifMqG,5.0,5,5,5,5,5,5,5,5,5,6,5,6,5,5,1.0,2,1,2,1,3,2,2,1,2,2,2,1,3,2,2,3,2,2,2,3,3,2,1,2,2,2,2,3,2,3,3,20,2.0,australia ,australia ,australia ,5,1,2,10,,,,,White,4,3,3,1.0,1.0,1.0,1.0
58,R_1JDs167OggPl2xt,6.0,7,5,4,4,6,3,3,5,3,6,7,7,7,7,5.0,4,4,5,3,7,6,2,2,3,3,6,6,7,3,5,5,5,3,6,6,5,6,5,6,6,5,6,6,3,5,7,21,1.0,melbourne ,melbourne,australia ,5,2,1,9,Spain,4,2,4,Italian,5,5,5,1.0,1.0,1.0,1.0
59,R_24FZDHQHWs5EQFa,5.0,5,6,5,6,6,2,5,4,2,5,5,6,5,3,1.0,1,1,1,1,6,4,2,1,3,1,2,1,4,1,1,6,6,1,6,6,5,6,1,3,2,5,1,6,3,4,5,21,2.0,western europe,uk,australia,5,4,4,10,,,,,Caucasian,5,5,5,1.0,1.0,1.0,1.0
60,R_2rC3ZyzYVoBnxze,5.0,3,6,6,6,6,3,5,5,2,5,6,5,6,3,1.0,2,1,3,2,5,5,1,2,2,2,2,2,3,1,2,4,5,3,5,4,6,3,3,6,4,4,4,4,5,4,6,22,2.0,australia,australia,australia,5,3,4,10,,,,,"White, United Kingdom",2,1,1,1.0,1.0,1.0,1.0
61,R_20ZKCKMEICQvSyn,5.0,6,7,7,7,5,7,6,7,3,7,5,6,5,3,1.0,1,1,1,1,2,5,1,1,2,1,1,1,2,1,3,3,3,2,6,5,1,1,2,2,1,3,1,2,1,2,6,22,2.0,australia,holland,australia,5,5,5,10,,,,,Dutch,4,5,3,1.0,1.0,1.0,1.0
62,R_2QQHG96hHYwibak,6.0,7,6,6,6,5,6,5,6,6,6,5,6,4,5,3.0,4,2,3,5,5,5,3,4,2,5,5,5,4,4,5,6,4,4,5,5,4,4,4,5,4,5,4,5,5,4,6,22,1.0,indonesia,indonesia,indonesia,2,2,4,10,,,,,Asian,4,4,4,2.0,2.0,2.0,999.0
63,R_uwAf8qzDnGkjDOh,6.0,4,5,5,6,3,2,6,5,2,5,5,5,5,7,1.0,3,2,3,1,4,2,2,1,2,3,3,1,2,1,2,6,3,3,3,5,2,2,2,3,3,4,2,4,4,3,3,21,2.0,china,china,china,5,4,3,9,Australia,4,3,3,Chinese,5,4,3,2.0,2.0,2.0,999.0
64,R_4I8Ryd47govYNxv,6.0,7,7,7,6,3,3,2,1,2,3,6,6,6,5,1.0,2,1,3,1,3,3,2,2,3,3,1,1,4,1,1,3,3,2,3,2,4,1,2,2,2,3,2,3,3,3,4,19,2.0,united kingdom,australia,australia,4,4,3,10,,,,,Australian ,4,4,3,1.0,1.0,1.0,1.0
65,R_3pu7nZ5oDgWe4hh,6.0,3,7,4,6,7,5,6,6,5,4,5,4,5,5,3.0,2,3,4,3,4,4,4,4,3,2,2,3,4,4,2,3,4,3,4,4,4,4,4,4,5,5,3,4,4,5,5,21,2.0,indonesia,indonesia,indonesia,5,3,4,9,Australia,4,3,3,Chinese,4,4,4,2.0,2.0,2.0,999.0
66,R_6ECbp4F3QuM7Jdf,6.0,6,6,6,3,5,3,4,6,2,5,4,5,4,5,3.0,3,2,3,3,4,3,2,3,3,3,3,3,3,2,3,4,4,3,4,4,4,4,2,2,2,4,4,4,3,3,5,20,2.0,malaysia,england,australia,2,4,4,10,,,,,Multiracial (Asian and British),2,4,4,1.0,2.0,1.0,2.0
67,R_3G9419e5XexDOSs,6.0,5,6,5,6,5,5,7,6,6,6,6,6,6,7,5.0,3,1,5,6,5,5,3,2,2,5,1,2,5,3,2,6,6,5,5,5,5,3,2,3,5,5,2,5,2,1,5,21,2.0,indonesia,indonesia,indonesia,2,4,2,9,philippines,4,4,2,asian,4,4,4,2.0,2.0,2.0,999.0
68,R_27sqdMSff1wVVEW,6.0,6,6,5,5,2,5,5,6,3,6,4,6,5,4,2.0,3,2,4,4,6,6,2,2,4,4,2,3,5,3,3,4,5,4,6,6,5,5,5,4,6,5,4,5,5,5,7,20,2.0,indonesia,indonesia,indonesia,4,3,3,9,Australia,3,2,4,Asian; Chinese-Indonesian,4,3,4,2.0,2.0,2.0,999.0
69,R_2WwEof9acHii0eD,6.0,6,7,6,6,5,6,5,5,4,6,3,5,4,3,1.0,2,2,1,2,4,2,2,1,1,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,4,3,1,21,2.0,england ,scotland,hong kong,4,4,4,9,Scotland and Australia,4,4,3,British ,4,3,2,1.0,1.0,2.0,2.0
70,R_OKa25PKpVj6eT17,5.0,5,6,5,5,5,3,3,6,4,5,6,6,5,6,3.0,5,1,5,2,3,7,2,1,3,5,2,5,3,2,2,6,6,3,5,6,5,5,3,5,5,5,3,5,5,5,5,23,2.0,aus - perth,aus - perth ,australia,5,4,4,10,,,,,Australian ,5,4,5,1.0,1.0,1.0,1.0
71,R_71A2jJEvHViyoIV,5.0,4,5,4,5,3,5,4,5,4,5,6,6,6,6,5.0,5,4,4,6,4,5,4,4,4,5,4,5,5,5,4,4,4,5,4,5,5,4,4,5,5,6,6,4,3,4,4,21,2.0,china,china,china,5,5,5,9,Melbourne,3,3,3,Chinese,5,5,5,2.0,2.0,2.0,999.0
72,R_1MYrZ94NtVOEyCc,5.0,5,6,5,5,2,4,5,5,5,5,5,6,5,5,3.0,3,2,5,5,6,5,3,2,3,5,3,2,5,2,5,5,5,3,4,5,3,3,3,5,4,3,3,4,2,3,4,52,1.0,australia,australia,australia,4,4,2,9,Hong Kong,4,4,3,Bogan,4,4,2,1.0,1.0,1.0,1.0
73,R_3Ca5jXbUxwBZrm9,5.0,7,6,5,5,6,6,5,6,7,6,4,6,6,4,1.0,1,1,2,1,3,2,1,1,1,1,1,1,3,1,1,3,4,3,3,4,3,3,2,3,2,4,2,2,2,1,4,19,2.0,australia,australia,australia,4,5,4,10,,,,,Caucasian,4,5,4,1.0,1.0,1.0,1.0
